2023-06-17 02:11:50.714652 Epoch [000/025], Step [0060/0750], [lateral-3: 1.9254], [lateral-2: 1.9334], [lateral-1: 1.8609], [edge: 0.9765]
2023-06-17 02:12:40.196207 Epoch [000/025], Step [0120/0750], [lateral-3: 1.8954], [lateral-2: 1.9065], [lateral-1: 1.8385], [edge: 0.9773]
2023-06-17 02:13:29.798256 Epoch [000/025], Step [0180/0750], [lateral-3: 1.8995], [lateral-2: 1.9106], [lateral-1: 1.8430], [edge: 0.9773]
2023-06-17 02:14:19.517696 Epoch [000/025], Step [0240/0750], [lateral-3: 1.8879], [lateral-2: 1.8986], [lateral-1: 1.8339], [edge: 0.9766]
2023-06-17 02:15:09.200256 Epoch [000/025], Step [0300/0750], [lateral-3: 1.8846], [lateral-2: 1.8962], [lateral-1: 1.8337], [edge: 0.9769]
2023-06-17 02:15:58.833344 Epoch [000/025], Step [0360/0750], [lateral-3: 1.8764], [lateral-2: 1.8872], [lateral-1: 1.8266], [edge: 0.9769]
2023-06-17 02:16:48.523546 Epoch [000/025], Step [0420/0750], [lateral-3: 1.8664], [lateral-2: 1.8776], [lateral-1: 1.8195], [edge: 0.9763]
2023-06-17 02:17:38.237485 Epoch [000/025], Step [0480/0750], [lateral-3: 1.8579], [lateral-2: 1.8686], [lateral-1: 1.8126], [edge: 0.9763]
2023-06-17 02:18:27.942661 Epoch [000/025], Step [0540/0750], [lateral-3: 1.8508], [lateral-2: 1.8622], [lateral-1: 1.8091], [edge: 0.9763]
2023-06-17 02:19:17.644143 Epoch [000/025], Step [0600/0750], [lateral-3: 1.8478], [lateral-2: 1.8580], [lateral-1: 1.8066], [edge: 0.9761]
2023-06-17 02:20:07.322083 Epoch [000/025], Step [0660/0750], [lateral-3: 1.8418], [lateral-2: 1.8516], [lateral-1: 1.8027], [edge: 0.9759]
2023-06-17 02:20:56.892076 Epoch [000/025], Step [0720/0750], [lateral-3: 1.8345], [lateral-2: 1.8441], [lateral-1: 1.7978], [edge: 0.9758]
2023-06-17 02:21:21.727431 Epoch [000/025], Step [0750/0750], [lateral-3: 1.8327], [lateral-2: 1.8420], [lateral-1: 1.7968], [edge: 0.9757]
2023-06-17 02:22:12.181366 Epoch [001/025], Step [0060/0750], [lateral-3: 1.7670], [lateral-2: 1.7637], [lateral-1: 1.7515], [edge: 0.9711]
2023-06-17 02:23:01.863469 Epoch [001/025], Step [0120/0750], [lateral-3: 1.7591], [lateral-2: 1.7547], [lateral-1: 1.7465], [edge: 0.9747]
2023-06-17 02:23:51.574209 Epoch [001/025], Step [0180/0750], [lateral-3: 1.7504], [lateral-2: 1.7457], [lateral-1: 1.7417], [edge: 0.9741]
2023-06-17 02:24:41.258035 Epoch [001/025], Step [0240/0750], [lateral-3: 1.7322], [lateral-2: 1.7274], [lateral-1: 1.7294], [edge: 0.9746]
2023-06-17 02:25:30.969239 Epoch [001/025], Step [0300/0750], [lateral-3: 1.7340], [lateral-2: 1.7252], [lateral-1: 1.7296], [edge: 0.9743]
2023-06-17 02:26:20.666702 Epoch [001/025], Step [0360/0750], [lateral-3: 1.7252], [lateral-2: 1.7144], [lateral-1: 1.7235], [edge: 0.9747]
2023-06-17 02:27:10.335320 Epoch [001/025], Step [0420/0750], [lateral-3: 1.7109], [lateral-2: 1.6981], [lateral-1: 1.7119], [edge: 0.9749]
2023-06-17 02:27:59.938542 Epoch [001/025], Step [0480/0750], [lateral-3: 1.7030], [lateral-2: 1.6874], [lateral-1: 1.7057], [edge: 0.9749]
2023-06-17 02:28:49.589263 Epoch [001/025], Step [0540/0750], [lateral-3: 1.6952], [lateral-2: 1.6761], [lateral-1: 1.6988], [edge: 0.9752]
2023-06-17 02:29:39.223734 Epoch [001/025], Step [0600/0750], [lateral-3: 1.6865], [lateral-2: 1.6646], [lateral-1: 1.6917], [edge: 0.9752]
2023-06-17 02:30:28.837517 Epoch [001/025], Step [0660/0750], [lateral-3: 1.6822], [lateral-2: 1.6563], [lateral-1: 1.6873], [edge: 0.9750]
2023-06-17 02:31:18.458712 Epoch [001/025], Step [0720/0750], [lateral-3: 1.6745], [lateral-2: 1.6451], [lateral-1: 1.6802], [edge: 0.9749]
2023-06-17 02:31:43.274203 Epoch [001/025], Step [0750/0750], [lateral-3: 1.6715], [lateral-2: 1.6402], [lateral-1: 1.6772], [edge: 0.9750]
2023-06-17 02:32:34.077556 Epoch [002/025], Step [0060/0750], [lateral-3: 1.6010], [lateral-2: 1.5121], [lateral-1: 1.5972], [edge: 0.9756]
2023-06-17 02:33:23.779223 Epoch [002/025], Step [0120/0750], [lateral-3: 1.5843], [lateral-2: 1.4926], [lateral-1: 1.5842], [edge: 0.9754]
2023-06-17 02:34:13.481706 Epoch [002/025], Step [0180/0750], [lateral-3: 1.5634], [lateral-2: 1.4694], [lateral-1: 1.5676], [edge: 0.9763]
2023-06-17 02:35:03.158735 Epoch [002/025], Step [0240/0750], [lateral-3: 1.5503], [lateral-2: 1.4541], [lateral-1: 1.5555], [edge: 0.9755]
2023-06-17 02:35:52.881168 Epoch [002/025], Step [0300/0750], [lateral-3: 1.5470], [lateral-2: 1.4466], [lateral-1: 1.5490], [edge: 0.9748]
2023-06-17 02:36:42.605258 Epoch [002/025], Step [0360/0750], [lateral-3: 1.5392], [lateral-2: 1.4357], [lateral-1: 1.5406], [edge: 0.9748]
2023-06-17 02:37:32.287604 Epoch [002/025], Step [0420/0750], [lateral-3: 1.5347], [lateral-2: 1.4276], [lateral-1: 1.5340], [edge: 0.9748]
2023-06-17 02:38:21.975998 Epoch [002/025], Step [0480/0750], [lateral-3: 1.5289], [lateral-2: 1.4191], [lateral-1: 1.5273], [edge: 0.9747]
2023-06-17 02:39:11.658779 Epoch [002/025], Step [0540/0750], [lateral-3: 1.5208], [lateral-2: 1.4085], [lateral-1: 1.5188], [edge: 0.9746]
2023-06-17 02:40:01.344212 Epoch [002/025], Step [0600/0750], [lateral-3: 1.5164], [lateral-2: 1.4026], [lateral-1: 1.5142], [edge: 0.9745]
2023-06-17 02:40:51.011429 Epoch [002/025], Step [0660/0750], [lateral-3: 1.5118], [lateral-2: 1.3956], [lateral-1: 1.5081], [edge: 0.9746]
2023-06-17 02:41:40.709486 Epoch [002/025], Step [0720/0750], [lateral-3: 1.5094], [lateral-2: 1.3903], [lateral-1: 1.5033], [edge: 0.9745]
2023-06-17 02:42:05.558281 Epoch [002/025], Step [0750/0750], [lateral-3: 1.5065], [lateral-2: 1.3871], [lateral-1: 1.5004], [edge: 0.9744]
2023-06-17 02:42:56.271827 Epoch [003/025], Step [0060/0750], [lateral-3: 1.4382], [lateral-2: 1.2973], [lateral-1: 1.4215], [edge: 0.9746]
2023-06-17 02:43:45.944307 Epoch [003/025], Step [0120/0750], [lateral-3: 1.4350], [lateral-2: 1.2951], [lateral-1: 1.4190], [edge: 0.9745]
2023-06-17 02:44:35.566733 Epoch [003/025], Step [0180/0750], [lateral-3: 1.4327], [lateral-2: 1.2915], [lateral-1: 1.4151], [edge: 0.9747]
2023-06-17 02:45:25.189637 Epoch [003/025], Step [0240/0750], [lateral-3: 1.4212], [lateral-2: 1.2830], [lateral-1: 1.4067], [edge: 0.9749]
2023-06-17 02:46:14.845553 Epoch [003/025], Step [0300/0750], [lateral-3: 1.4137], [lateral-2: 1.2768], [lateral-1: 1.4002], [edge: 0.9755]
