2023-06-10 14:39:11.630630 Epoch [000/025], Step [0060/0061], [lateral-3: 1.2950], [lateral-2: 1.3878], [lateral-1: 1.4890], [edge: 0.9286]
2023-06-10 14:39:23.327952 Epoch [000/025], Step [0061/0061], [lateral-3: 1.2936], [lateral-2: 1.3863], [lateral-1: 1.4878], [edge: 0.9298]
2023-06-10 14:39:48.593602 Epoch [001/025], Step [0060/0061], [lateral-3: 1.1405], [lateral-2: 1.2296], [lateral-1: 1.3492], [edge: 0.9020]
2023-06-10 14:39:48.756011 Epoch [001/025], Step [0061/0061], [lateral-3: 1.1401], [lateral-2: 1.2292], [lateral-1: 1.3489], [edge: 0.9027]
2023-06-10 14:40:14.190701 Epoch [002/025], Step [0060/0061], [lateral-3: 1.0970], [lateral-2: 1.1766], [lateral-1: 1.2987], [edge: 0.8879]
2023-06-10 14:40:14.354340 Epoch [002/025], Step [0061/0061], [lateral-3: 1.0969], [lateral-2: 1.1765], [lateral-1: 1.2985], [edge: 0.8883]
2023-06-10 14:40:39.652253 Epoch [003/025], Step [0060/0061], [lateral-3: 1.0747], [lateral-2: 1.1461], [lateral-1: 1.2666], [edge: 0.8734]
2023-06-10 14:40:39.817919 Epoch [003/025], Step [0061/0061], [lateral-3: 1.0747], [lateral-2: 1.1461], [lateral-1: 1.2666], [edge: 0.8754]
2023-06-10 14:41:05.209275 Epoch [004/025], Step [0060/0061], [lateral-3: 1.0601], [lateral-2: 1.1240], [lateral-1: 1.2423], [edge: 0.8578]
2023-06-10 14:41:05.372006 Epoch [004/025], Step [0061/0061], [lateral-3: 1.0599], [lateral-2: 1.1238], [lateral-1: 1.2422], [edge: 0.8576]
[Saving Snapshot:]checkpoints/BGNet_try2/BGNet-4.pth
2023-06-10 14:41:31.693409 Epoch [005/025], Step [0060/0061], [lateral-3: 1.0487], [lateral-2: 1.1059], [lateral-1: 1.2205], [edge: 0.8460]
2023-06-10 14:41:31.855092 Epoch [005/025], Step [0061/0061], [lateral-3: 1.0486], [lateral-2: 1.1058], [lateral-1: 1.2204], [edge: 0.8464]
2023-06-10 14:41:57.180487 Epoch [006/025], Step [0060/0061], [lateral-3: 1.0376], [lateral-2: 1.0902], [lateral-1: 1.2003], [edge: 0.8377]
2023-06-10 14:41:57.342598 Epoch [006/025], Step [0061/0061], [lateral-3: 1.0378], [lateral-2: 1.0903], [lateral-1: 1.2002], [edge: 0.8354]
2023-06-10 14:42:22.711179 Epoch [007/025], Step [0060/0061], [lateral-3: 1.0299], [lateral-2: 1.0783], [lateral-1: 1.1840], [edge: 0.8261]
2023-06-10 14:42:22.873499 Epoch [007/025], Step [0061/0061], [lateral-3: 1.0301], [lateral-2: 1.0784], [lateral-1: 1.1840], [edge: 0.8265]
2023-06-10 14:42:48.206664 Epoch [008/025], Step [0060/0061], [lateral-3: 1.0200], [lateral-2: 1.0652], [lateral-1: 1.1674], [edge: 0.8146]
2023-06-10 14:42:48.369118 Epoch [008/025], Step [0061/0061], [lateral-3: 1.0202], [lateral-2: 1.0654], [lateral-1: 1.1676], [edge: 0.8177]
2023-06-10 14:43:13.760200 Epoch [009/025], Step [0060/0061], [lateral-3: 1.0140], [lateral-2: 1.0560], [lateral-1: 1.1541], [edge: 0.8091]
2023-06-10 14:43:13.921924 Epoch [009/025], Step [0061/0061], [lateral-3: 1.0140], [lateral-2: 1.0560], [lateral-1: 1.1541], [edge: 0.8095]
[Saving Snapshot:]checkpoints/BGNet_try2/BGNet-9.pth
2023-06-10 14:43:40.141464 Epoch [010/025], Step [0060/0061], [lateral-3: 1.0075], [lateral-2: 1.0474], [lateral-1: 1.1422], [edge: 0.8042]
2023-06-10 14:43:40.304090 Epoch [010/025], Step [0061/0061], [lateral-3: 1.0075], [lateral-2: 1.0473], [lateral-1: 1.1422], [edge: 0.8017]
2023-06-10 14:44:05.562270 Epoch [011/025], Step [0060/0061], [lateral-3: 0.9989], [lateral-2: 1.0374], [lateral-1: 1.1301], [edge: 0.7905]
2023-06-10 14:44:05.724589 Epoch [011/025], Step [0061/0061], [lateral-3: 0.9985], [lateral-2: 1.0371], [lateral-1: 1.1299], [edge: 0.7889]
2023-06-10 14:44:31.100954 Epoch [012/025], Step [0060/0061], [lateral-3: 0.9929], [lateral-2: 1.0299], [lateral-1: 1.1204], [edge: 0.7850]
