2023-06-14 21:45:14.806890 Epoch [000/050], Step [0060/0132], [lateral-3: 1.9106], [lateral-2: 1.9110], [lateral-1: 1.8393], [edge: 0.9709]
2023-06-14 21:46:35.423358 Epoch [000/050], Step [0120/0132], [lateral-3: 1.8904], [lateral-2: 1.8930], [lateral-1: 1.8254], [edge: 0.9728]
2023-06-14 21:47:08.387553 Epoch [000/050], Step [0132/0132], [lateral-3: 1.8820], [lateral-2: 1.8841], [lateral-1: 1.8174], [edge: 0.9720]
2023-06-14 21:48:31.027864 Epoch [001/050], Step [0060/0132], [lateral-3: 1.8245], [lateral-2: 1.8270], [lateral-1: 1.7705], [edge: 0.9713]
2023-06-14 21:49:51.569183 Epoch [001/050], Step [0120/0132], [lateral-3: 1.8228], [lateral-2: 1.8225], [lateral-1: 1.7660], [edge: 0.9705]
2023-06-14 21:50:06.869193 Epoch [001/050], Step [0132/0132], [lateral-3: 1.8222], [lateral-2: 1.8216], [lateral-1: 1.7651], [edge: 0.9704]
2023-06-14 21:51:29.492938 Epoch [002/050], Step [0060/0132], [lateral-3: 1.7869], [lateral-2: 1.7895], [lateral-1: 1.7411], [edge: 0.9721]
2023-06-14 21:52:50.097463 Epoch [002/050], Step [0120/0132], [lateral-3: 1.7853], [lateral-2: 1.7865], [lateral-1: 1.7396], [edge: 0.9696]
2023-06-14 21:53:05.376919 Epoch [002/050], Step [0132/0132], [lateral-3: 1.7875], [lateral-2: 1.7879], [lateral-1: 1.7408], [edge: 0.9695]
2023-06-14 21:54:29.247834 Epoch [003/050], Step [0060/0132], [lateral-3: 1.7489], [lateral-2: 1.7503], [lateral-1: 1.7103], [edge: 0.9700]
2023-06-14 21:55:49.807815 Epoch [003/050], Step [0120/0132], [lateral-3: 1.7546], [lateral-2: 1.7520], [lateral-1: 1.7127], [edge: 0.9672]
2023-06-14 21:56:05.107307 Epoch [003/050], Step [0132/0132], [lateral-3: 1.7460], [lateral-2: 1.7439], [lateral-1: 1.7057], [edge: 0.9673]
2023-06-14 21:57:27.906275 Epoch [004/050], Step [0060/0132], [lateral-3: 1.7322], [lateral-2: 1.7374], [lateral-1: 1.7119], [edge: 0.9667]
2023-06-14 21:58:48.775052 Epoch [004/050], Step [0120/0132], [lateral-3: 1.7176], [lateral-2: 1.7161], [lateral-1: 1.6898], [edge: 0.9669]
2023-06-14 21:59:04.086474 Epoch [004/050], Step [0132/0132], [lateral-3: 1.7185], [lateral-2: 1.7162], [lateral-1: 1.6894], [edge: 0.9662]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning/BGNet_fine_tuning-4.pth
2023-06-14 22:00:28.700400 Epoch [005/050], Step [0060/0132], [lateral-3: 1.6698], [lateral-2: 1.6653], [lateral-1: 1.6473], [edge: 0.9666]
2023-06-14 22:01:49.350444 Epoch [005/050], Step [0120/0132], [lateral-3: 1.6778], [lateral-2: 1.6696], [lateral-1: 1.6514], [edge: 0.9645]
2023-06-14 22:02:04.705629 Epoch [005/050], Step [0132/0132], [lateral-3: 1.6775], [lateral-2: 1.6696], [lateral-1: 1.6523], [edge: 0.9650]
2023-06-14 22:03:28.911221 Epoch [006/050], Step [0060/0132], [lateral-3: 1.6669], [lateral-2: 1.6537], [lateral-1: 1.6444], [edge: 0.9657]
2023-06-14 22:04:49.596619 Epoch [006/050], Step [0120/0132], [lateral-3: 1.6510], [lateral-2: 1.6383], [lateral-1: 1.6324], [edge: 0.9652]
2023-06-14 22:05:04.929782 Epoch [006/050], Step [0132/0132], [lateral-3: 1.6498], [lateral-2: 1.6362], [lateral-1: 1.6305], [edge: 0.9647]
2023-06-14 22:06:27.707859 Epoch [007/050], Step [0060/0132], [lateral-3: 1.6235], [lateral-2: 1.6094], [lateral-1: 1.6130], [edge: 0.9647]
2023-06-14 22:07:48.365357 Epoch [007/050], Step [0120/0132], [lateral-3: 1.6204], [lateral-2: 1.6029], [lateral-1: 1.6093], [edge: 0.9645]
2023-06-14 22:08:03.684095 Epoch [007/050], Step [0132/0132], [lateral-3: 1.6183], [lateral-2: 1.6000], [lateral-1: 1.6070], [edge: 0.9650]
2023-06-14 22:09:27.036929 Epoch [008/050], Step [0060/0132], [lateral-3: 1.5961], [lateral-2: 1.5734], [lateral-1: 1.5892], [edge: 0.9612]
2023-06-14 22:10:47.542953 Epoch [008/050], Step [0120/0132], [lateral-3: 1.5903], [lateral-2: 1.5645], [lateral-1: 1.5833], [edge: 0.9623]
2023-06-14 22:11:02.854770 Epoch [008/050], Step [0132/0132], [lateral-3: 1.5922], [lateral-2: 1.5656], [lateral-1: 1.5845], [edge: 0.9632]
2023-06-14 22:12:26.750185 Epoch [009/050], Step [0060/0132], [lateral-3: 1.5512], [lateral-2: 1.5266], [lateral-1: 1.5607], [edge: 0.9611]
2023-06-14 22:13:47.300794 Epoch [009/050], Step [0120/0132], [lateral-3: 1.5702], [lateral-2: 1.5369], [lateral-1: 1.5710], [edge: 0.9614]
2023-06-14 22:14:02.651543 Epoch [009/050], Step [0132/0132], [lateral-3: 1.5652], [lateral-2: 1.5318], [lateral-1: 1.5663], [edge: 0.9615]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning/BGNet_fine_tuning-9.pth
2023-06-14 22:15:26.572585 Epoch [010/050], Step [0060/0132], [lateral-3: 1.5531], [lateral-2: 1.5094], [lateral-1: 1.5476], [edge: 0.9580]
2023-06-14 22:16:47.224238 Epoch [010/050], Step [0120/0132], [lateral-3: 1.5392], [lateral-2: 1.4940], [lateral-1: 1.5359], [edge: 0.9611]
2023-06-14 22:17:02.540266 Epoch [010/050], Step [0132/0132], [lateral-3: 1.5403], [lateral-2: 1.4952], [lateral-1: 1.5377], [edge: 0.9618]
2023-06-14 22:18:26.577244 Epoch [011/050], Step [0060/0132], [lateral-3: 1.5222], [lateral-2: 1.4716], [lateral-1: 1.5218], [edge: 0.9596]
2023-06-14 22:19:47.247020 Epoch [011/050], Step [0120/0132], [lateral-3: 1.5175], [lateral-2: 1.4642], [lateral-1: 1.5182], [edge: 0.9605]
2023-06-14 22:20:02.543630 Epoch [011/050], Step [0132/0132], [lateral-3: 1.5166], [lateral-2: 1.4637], [lateral-1: 1.5183], [edge: 0.9603]
2023-06-14 22:21:26.349878 Epoch [012/050], Step [0060/0132], [lateral-3: 1.4871], [lateral-2: 1.4299], [lateral-1: 1.4909], [edge: 0.9624]
2023-06-14 22:22:46.931265 Epoch [012/050], Step [0120/0132], [lateral-3: 1.4947], [lateral-2: 1.4318], [lateral-1: 1.4937], [edge: 0.9604]
2023-06-14 22:23:02.257609 Epoch [012/050], Step [0132/0132], [lateral-3: 1.4930], [lateral-2: 1.4294], [lateral-1: 1.4924], [edge: 0.9601]
2023-06-14 22:24:24.733946 Epoch [013/050], Step [0060/0132], [lateral-3: 1.4879], [lateral-2: 1.4153], [lateral-1: 1.4835], [edge: 0.9556]
2023-06-14 22:25:45.317003 Epoch [013/050], Step [0120/0132], [lateral-3: 1.4692], [lateral-2: 1.3970], [lateral-1: 1.4670], [edge: 0.9581]
2023-06-14 22:26:00.647497 Epoch [013/050], Step [0132/0132], [lateral-3: 1.4715], [lateral-2: 1.3990], [lateral-1: 1.4694], [edge: 0.9587]
2023-06-14 22:27:24.332349 Epoch [014/050], Step [0060/0132], [lateral-3: 1.4714], [lateral-2: 1.3957], [lateral-1: 1.4715], [edge: 0.9579]
2023-06-14 22:28:44.938954 Epoch [014/050], Step [0120/0132], [lateral-3: 1.4611], [lateral-2: 1.3820], [lateral-1: 1.4590], [edge: 0.9581]
2023-06-14 22:29:00.290443 Epoch [014/050], Step [0132/0132], [lateral-3: 1.4620], [lateral-2: 1.3822], [lateral-1: 1.4592], [edge: 0.9585]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning/BGNet_fine_tuning-14.pth
2023-06-14 22:30:26.402854 Epoch [015/050], Step [0060/0132], [lateral-3: 1.4562], [lateral-2: 1.3693], [lateral-1: 1.4502], [edge: 0.9598]
2023-06-14 22:31:47.238411 Epoch [015/050], Step [0120/0132], [lateral-3: 1.4439], [lateral-2: 1.3578], [lateral-1: 1.4431], [edge: 0.9565]
2023-06-14 22:32:02.574958 Epoch [015/050], Step [0132/0132], [lateral-3: 1.4448], [lateral-2: 1.3572], [lateral-1: 1.4415], [edge: 0.9563]
2023-06-14 22:33:27.105609 Epoch [016/050], Step [0060/0132], [lateral-3: 1.4417], [lateral-2: 1.3503], [lateral-1: 1.4376], [edge: 0.9522]
2023-06-14 22:34:47.700871 Epoch [016/050], Step [0120/0132], [lateral-3: 1.4272], [lateral-2: 1.3364], [lateral-1: 1.4261], [edge: 0.9558]
2023-06-14 22:35:03.079590 Epoch [016/050], Step [0132/0132], [lateral-3: 1.4283], [lateral-2: 1.3364], [lateral-1: 1.4260], [edge: 0.9552]
2023-06-14 22:36:26.994138 Epoch [017/050], Step [0060/0132], [lateral-3: 1.4247], [lateral-2: 1.3316], [lateral-1: 1.4229], [edge: 0.9534]
2023-06-14 22:37:47.538875 Epoch [017/050], Step [0120/0132], [lateral-3: 1.4199], [lateral-2: 1.3259], [lateral-1: 1.4187], [edge: 0.9559]
2023-06-14 22:38:02.800299 Epoch [017/050], Step [0132/0132], [lateral-3: 1.4167], [lateral-2: 1.3239], [lateral-1: 1.4159], [edge: 0.9556]
2023-06-14 22:39:25.413511 Epoch [018/050], Step [0060/0132], [lateral-3: 1.4167], [lateral-2: 1.3198], [lateral-1: 1.4141], [edge: 0.9528]
2023-06-14 22:40:45.884975 Epoch [018/050], Step [0120/0132], [lateral-3: 1.4061], [lateral-2: 1.3103], [lateral-1: 1.4037], [edge: 0.9532]
2023-06-14 22:41:01.152204 Epoch [018/050], Step [0132/0132], [lateral-3: 1.4054], [lateral-2: 1.3102], [lateral-1: 1.4045], [edge: 0.9536]
2023-06-14 22:42:25.352096 Epoch [019/050], Step [0060/0132], [lateral-3: 1.4002], [lateral-2: 1.2985], [lateral-1: 1.3841], [edge: 0.9512]
2023-06-14 22:43:46.005367 Epoch [019/050], Step [0120/0132], [lateral-3: 1.4052], [lateral-2: 1.3037], [lateral-1: 1.3950], [edge: 0.9521]
2023-06-14 22:44:01.322526 Epoch [019/050], Step [0132/0132], [lateral-3: 1.4009], [lateral-2: 1.2993], [lateral-1: 1.3917], [edge: 0.9540]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning/BGNet_fine_tuning-19.pth
2023-06-14 22:45:27.101456 Epoch [020/050], Step [0060/0132], [lateral-3: 1.3859], [lateral-2: 1.2861], [lateral-1: 1.3796], [edge: 0.9546]
2023-06-14 22:46:47.729768 Epoch [020/050], Step [0120/0132], [lateral-3: 1.3843], [lateral-2: 1.2849], [lateral-1: 1.3743], [edge: 0.9543]
2023-06-14 22:47:03.077001 Epoch [020/050], Step [0132/0132], [lateral-3: 1.3863], [lateral-2: 1.2865], [lateral-1: 1.3751], [edge: 0.9532]
2023-06-14 22:48:26.406543 Epoch [021/050], Step [0060/0132], [lateral-3: 1.3800], [lateral-2: 1.2809], [lateral-1: 1.3746], [edge: 0.9536]
2023-06-14 22:49:46.728659 Epoch [021/050], Step [0120/0132], [lateral-3: 1.3875], [lateral-2: 1.2831], [lateral-1: 1.3710], [edge: 0.9532]
2023-06-14 22:50:01.967278 Epoch [021/050], Step [0132/0132], [lateral-3: 1.3822], [lateral-2: 1.2796], [lateral-1: 1.3682], [edge: 0.9532]
2023-06-14 22:51:24.066237 Epoch [022/050], Step [0060/0132], [lateral-3: 1.3624], [lateral-2: 1.2603], [lateral-1: 1.3537], [edge: 0.9523]
2023-06-14 22:52:43.995496 Epoch [022/050], Step [0120/0132], [lateral-3: 1.3722], [lateral-2: 1.2708], [lateral-1: 1.3596], [edge: 0.9515]
2023-06-14 22:52:59.124649 Epoch [022/050], Step [0132/0132], [lateral-3: 1.3754], [lateral-2: 1.2733], [lateral-1: 1.3611], [edge: 0.9513]
2023-06-14 22:54:22.052290 Epoch [023/050], Step [0060/0132], [lateral-3: 1.3788], [lateral-2: 1.2727], [lateral-1: 1.3567], [edge: 0.9486]
2023-06-14 22:55:41.718999 Epoch [023/050], Step [0120/0132], [lateral-3: 1.3684], [lateral-2: 1.2635], [lateral-1: 1.3453], [edge: 0.9512]
2023-06-14 22:55:56.903333 Epoch [023/050], Step [0132/0132], [lateral-3: 1.3672], [lateral-2: 1.2634], [lateral-1: 1.3446], [edge: 0.9514]
2023-06-14 22:57:19.597557 Epoch [024/050], Step [0060/0132], [lateral-3: 1.3615], [lateral-2: 1.2581], [lateral-1: 1.3363], [edge: 0.9521]
2023-06-14 22:58:39.157286 Epoch [024/050], Step [0120/0132], [lateral-3: 1.3593], [lateral-2: 1.2555], [lateral-1: 1.3350], [edge: 0.9513]
2023-06-14 22:58:54.266302 Epoch [024/050], Step [0132/0132], [lateral-3: 1.3599], [lateral-2: 1.2570], [lateral-1: 1.3371], [edge: 0.9510]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning/BGNet_fine_tuning-24.pth
2023-06-14 23:00:18.445274 Epoch [025/050], Step [0060/0132], [lateral-3: 1.3668], [lateral-2: 1.2665], [lateral-1: 1.3411], [edge: 0.9492]
2023-06-14 23:01:37.992213 Epoch [025/050], Step [0120/0132], [lateral-3: 1.3559], [lateral-2: 1.2529], [lateral-1: 1.3275], [edge: 0.9503]
2023-06-14 23:01:53.128465 Epoch [025/050], Step [0132/0132], [lateral-3: 1.3599], [lateral-2: 1.2562], [lateral-1: 1.3297], [edge: 0.9503]
2023-06-14 23:03:15.647605 Epoch [026/050], Step [0060/0132], [lateral-3: 1.3482], [lateral-2: 1.2487], [lateral-1: 1.3240], [edge: 0.9516]
2023-06-14 23:04:35.257916 Epoch [026/050], Step [0120/0132], [lateral-3: 1.3557], [lateral-2: 1.2549], [lateral-1: 1.3300], [edge: 0.9487]
2023-06-14 23:04:50.342862 Epoch [026/050], Step [0132/0132], [lateral-3: 1.3549], [lateral-2: 1.2538], [lateral-1: 1.3291], [edge: 0.9488]
