2023-06-16 07:49:14.910107 Epoch [000/050], Step [0060/0132], [lateral-3: 1.8819], [lateral-2: 1.8837], [lateral-1: 1.8154], [edge: 0.9723]
2023-06-16 07:50:02.818974 Epoch [000/050], Step [0120/0132], [lateral-3: 1.8823], [lateral-2: 1.8822], [lateral-1: 1.8143], [edge: 0.9725]
2023-06-16 07:50:24.725167 Epoch [000/050], Step [0132/0132], [lateral-3: 1.8812], [lateral-2: 1.8823], [lateral-1: 1.8150], [edge: 0.9723]
2023-06-16 07:51:14.322724 Epoch [001/050], Step [0060/0132], [lateral-3: 1.8784], [lateral-2: 1.8770], [lateral-1: 1.8141], [edge: 0.9706]
2023-06-16 07:52:03.482172 Epoch [001/050], Step [0120/0132], [lateral-3: 1.8707], [lateral-2: 1.8693], [lateral-1: 1.8079], [edge: 0.9722]
2023-06-16 07:52:12.885029 Epoch [001/050], Step [0132/0132], [lateral-3: 1.8686], [lateral-2: 1.8682], [lateral-1: 1.8077], [edge: 0.9721]
2023-06-16 07:53:03.474070 Epoch [002/050], Step [0060/0132], [lateral-3: 1.8366], [lateral-2: 1.8383], [lateral-1: 1.7855], [edge: 0.9720]
2023-06-16 07:53:53.331118 Epoch [002/050], Step [0120/0132], [lateral-3: 1.8434], [lateral-2: 1.8443], [lateral-1: 1.7914], [edge: 0.9727]
2023-06-16 07:54:02.820330 Epoch [002/050], Step [0132/0132], [lateral-3: 1.8443], [lateral-2: 1.8445], [lateral-1: 1.7916], [edge: 0.9722]
2023-06-16 07:54:53.833140 Epoch [003/050], Step [0060/0132], [lateral-3: 1.8181], [lateral-2: 1.8188], [lateral-1: 1.7722], [edge: 0.9708]
2023-06-16 07:55:43.881156 Epoch [003/050], Step [0120/0132], [lateral-3: 1.8242], [lateral-2: 1.8221], [lateral-1: 1.7764], [edge: 0.9718]
2023-06-16 07:55:53.423914 Epoch [003/050], Step [0132/0132], [lateral-3: 1.8179], [lateral-2: 1.8154], [lateral-1: 1.7705], [edge: 0.9712]
2023-06-16 07:56:44.350126 Epoch [004/050], Step [0060/0132], [lateral-3: 1.7848], [lateral-2: 1.7810], [lateral-1: 1.7445], [edge: 0.9733]
2023-06-16 07:57:34.519778 Epoch [004/050], Step [0120/0132], [lateral-3: 1.8011], [lateral-2: 1.7964], [lateral-1: 1.7602], [edge: 0.9711]
2023-06-16 07:57:44.072618 Epoch [004/050], Step [0132/0132], [lateral-3: 1.7953], [lateral-2: 1.7922], [lateral-1: 1.7578], [edge: 0.9711]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_only_backbone/BGNet_fine_tuning_freeze_only_backbone-4.pth
2023-06-16 07:58:36.209717 Epoch [005/050], Step [0060/0132], [lateral-3: 1.7657], [lateral-2: 1.7628], [lateral-1: 1.7394], [edge: 0.9743]
2023-06-16 07:59:26.444431 Epoch [005/050], Step [0120/0132], [lateral-3: 1.7800], [lateral-2: 1.7722], [lateral-1: 1.7480], [edge: 0.9724]
2023-06-16 07:59:36.020244 Epoch [005/050], Step [0132/0132], [lateral-3: 1.7771], [lateral-2: 1.7687], [lateral-1: 1.7452], [edge: 0.9716]
2023-06-16 08:00:27.080053 Epoch [006/050], Step [0060/0132], [lateral-3: 1.7606], [lateral-2: 1.7486], [lateral-1: 1.7352], [edge: 0.9699]
2023-06-16 08:01:17.331876 Epoch [006/050], Step [0120/0132], [lateral-3: 1.7467], [lateral-2: 1.7334], [lateral-1: 1.7226], [edge: 0.9722]
2023-06-16 08:01:26.900381 Epoch [006/050], Step [0132/0132], [lateral-3: 1.7493], [lateral-2: 1.7346], [lateral-1: 1.7239], [edge: 0.9722]
2023-06-16 08:02:17.920617 Epoch [007/050], Step [0060/0132], [lateral-3: 1.7434], [lateral-2: 1.7223], [lateral-1: 1.7193], [edge: 0.9713]
2023-06-16 08:03:08.154421 Epoch [007/050], Step [0120/0132], [lateral-3: 1.7313], [lateral-2: 1.7098], [lateral-1: 1.7132], [edge: 0.9718]
2023-06-16 08:03:17.723824 Epoch [007/050], Step [0132/0132], [lateral-3: 1.7223], [lateral-2: 1.7011], [lateral-1: 1.7062], [edge: 0.9715]
2023-06-16 08:04:08.792877 Epoch [008/050], Step [0060/0132], [lateral-3: 1.6994], [lateral-2: 1.6704], [lateral-1: 1.6860], [edge: 0.9703]
2023-06-16 08:04:59.026668 Epoch [008/050], Step [0120/0132], [lateral-3: 1.7008], [lateral-2: 1.6701], [lateral-1: 1.6892], [edge: 0.9710]
2023-06-16 08:05:08.597625 Epoch [008/050], Step [0132/0132], [lateral-3: 1.6997], [lateral-2: 1.6686], [lateral-1: 1.6879], [edge: 0.9709]
2023-06-16 08:05:59.656544 Epoch [009/050], Step [0060/0132], [lateral-3: 1.6764], [lateral-2: 1.6389], [lateral-1: 1.6700], [edge: 0.9709]
2023-06-16 08:06:49.879670 Epoch [009/050], Step [0120/0132], [lateral-3: 1.6682], [lateral-2: 1.6261], [lateral-1: 1.6608], [edge: 0.9707]
2023-06-16 08:06:59.448364 Epoch [009/050], Step [0132/0132], [lateral-3: 1.6688], [lateral-2: 1.6257], [lateral-1: 1.6607], [edge: 0.9707]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_only_backbone/BGNet_fine_tuning_freeze_only_backbone-9.pth
2023-06-16 08:07:51.603653 Epoch [010/050], Step [0060/0132], [lateral-3: 1.6660], [lateral-2: 1.6064], [lateral-1: 1.6482], [edge: 0.9685]
2023-06-16 08:08:41.779647 Epoch [010/050], Step [0120/0132], [lateral-3: 1.6490], [lateral-2: 1.5905], [lateral-1: 1.6375], [edge: 0.9706]
2023-06-16 08:08:51.338633 Epoch [010/050], Step [0132/0132], [lateral-3: 1.6442], [lateral-2: 1.5862], [lateral-1: 1.6348], [edge: 0.9711]
2023-06-16 08:09:42.437690 Epoch [011/050], Step [0060/0132], [lateral-3: 1.6169], [lateral-2: 1.5519], [lateral-1: 1.6127], [edge: 0.9726]
2023-06-16 08:10:32.685156 Epoch [011/050], Step [0120/0132], [lateral-3: 1.6272], [lateral-2: 1.5545], [lateral-1: 1.6154], [edge: 0.9716]
2023-06-16 08:10:42.248637 Epoch [011/050], Step [0132/0132], [lateral-3: 1.6245], [lateral-2: 1.5518], [lateral-1: 1.6146], [edge: 0.9723]
2023-06-16 08:11:33.455796 Epoch [012/050], Step [0060/0132], [lateral-3: 1.6121], [lateral-2: 1.5291], [lateral-1: 1.5986], [edge: 0.9677]
2023-06-16 08:12:23.705629 Epoch [012/050], Step [0120/0132], [lateral-3: 1.6057], [lateral-2: 1.5175], [lateral-1: 1.5911], [edge: 0.9699]
2023-06-16 08:12:33.265521 Epoch [012/050], Step [0132/0132], [lateral-3: 1.5993], [lateral-2: 1.5110], [lateral-1: 1.5856], [edge: 0.9700]
2023-06-16 08:13:24.495757 Epoch [013/050], Step [0060/0132], [lateral-3: 1.5827], [lateral-2: 1.4812], [lateral-1: 1.5627], [edge: 0.9722]
2023-06-16 08:14:14.644459 Epoch [013/050], Step [0120/0132], [lateral-3: 1.5721], [lateral-2: 1.4704], [lateral-1: 1.5548], [edge: 0.9710]
2023-06-16 08:14:24.205533 Epoch [013/050], Step [0132/0132], [lateral-3: 1.5716], [lateral-2: 1.4698], [lateral-1: 1.5537], [edge: 0.9703]
2023-06-16 08:15:15.139048 Epoch [014/050], Step [0060/0132], [lateral-3: 1.5477], [lateral-2: 1.4360], [lateral-1: 1.5268], [edge: 0.9717]
2023-06-16 08:16:05.322180 Epoch [014/050], Step [0120/0132], [lateral-3: 1.5595], [lateral-2: 1.4454], [lateral-1: 1.5387], [edge: 0.9709]
2023-06-16 08:16:14.881441 Epoch [014/050], Step [0132/0132], [lateral-3: 1.5510], [lateral-2: 1.4364], [lateral-1: 1.5305], [edge: 0.9709]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_only_backbone/BGNet_fine_tuning_freeze_only_backbone-14.pth
2023-06-16 08:17:06.887384 Epoch [015/050], Step [0060/0132], [lateral-3: 1.5273], [lateral-2: 1.4064], [lateral-1: 1.5052], [edge: 0.9702]
2023-06-16 08:17:57.047034 Epoch [015/050], Step [0120/0132], [lateral-3: 1.5315], [lateral-2: 1.4070], [lateral-1: 1.5075], [edge: 0.9714]
2023-06-16 08:18:06.604467 Epoch [015/050], Step [0132/0132], [lateral-3: 1.5331], [lateral-2: 1.4074], [lateral-1: 1.5060], [edge: 0.9715]
2023-06-16 08:18:57.706795 Epoch [016/050], Step [0060/0132], [lateral-3: 1.5066], [lateral-2: 1.3763], [lateral-1: 1.4839], [edge: 0.9719]
2023-06-16 08:19:47.915386 Epoch [016/050], Step [0120/0132], [lateral-3: 1.5193], [lateral-2: 1.3861], [lateral-1: 1.4903], [edge: 0.9713]
2023-06-16 08:19:57.475502 Epoch [016/050], Step [0132/0132], [lateral-3: 1.5166], [lateral-2: 1.3840], [lateral-1: 1.4881], [edge: 0.9715]
2023-06-16 08:20:48.557231 Epoch [017/050], Step [0060/0132], [lateral-3: 1.4967], [lateral-2: 1.3582], [lateral-1: 1.4699], [edge: 0.9713]
2023-06-16 08:21:38.744294 Epoch [017/050], Step [0120/0132], [lateral-3: 1.5036], [lateral-2: 1.3643], [lateral-1: 1.4729], [edge: 0.9703]
2023-06-16 08:21:48.301990 Epoch [017/050], Step [0132/0132], [lateral-3: 1.5041], [lateral-2: 1.3646], [lateral-1: 1.4731], [edge: 0.9707]
2023-06-16 08:22:39.467774 Epoch [018/050], Step [0060/0132], [lateral-3: 1.4932], [lateral-2: 1.3550], [lateral-1: 1.4641], [edge: 0.9706]
2023-06-16 08:23:29.677891 Epoch [018/050], Step [0120/0132], [lateral-3: 1.4874], [lateral-2: 1.3474], [lateral-1: 1.4571], [edge: 0.9718]
2023-06-16 08:23:39.249286 Epoch [018/050], Step [0132/0132], [lateral-3: 1.4907], [lateral-2: 1.3490], [lateral-1: 1.4572], [edge: 0.9710]
2023-06-16 08:24:30.233388 Epoch [019/050], Step [0060/0132], [lateral-3: 1.4716], [lateral-2: 1.3260], [lateral-1: 1.4389], [edge: 0.9740]
2023-06-16 08:25:20.447108 Epoch [019/050], Step [0120/0132], [lateral-3: 1.4757], [lateral-2: 1.3309], [lateral-1: 1.4427], [edge: 0.9712]
2023-06-16 08:25:30.011136 Epoch [019/050], Step [0132/0132], [lateral-3: 1.4797], [lateral-2: 1.3338], [lateral-1: 1.4437], [edge: 0.9712]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_only_backbone/BGNet_fine_tuning_freeze_only_backbone-19.pth
2023-06-16 08:26:22.046756 Epoch [020/050], Step [0060/0132], [lateral-3: 1.4645], [lateral-2: 1.3185], [lateral-1: 1.4235], [edge: 0.9706]
2023-06-16 08:27:12.276223 Epoch [020/050], Step [0120/0132], [lateral-3: 1.4645], [lateral-2: 1.3175], [lateral-1: 1.4247], [edge: 0.9702]
2023-06-16 08:27:21.833009 Epoch [020/050], Step [0132/0132], [lateral-3: 1.4619], [lateral-2: 1.3164], [lateral-1: 1.4243], [edge: 0.9704]
2023-06-16 08:28:12.981691 Epoch [021/050], Step [0060/0132], [lateral-3: 1.4420], [lateral-2: 1.3008], [lateral-1: 1.4088], [edge: 0.9708]
2023-06-16 08:29:03.185746 Epoch [021/050], Step [0120/0132], [lateral-3: 1.4502], [lateral-2: 1.3062], [lateral-1: 1.4130], [edge: 0.9706]
2023-06-16 08:29:12.749548 Epoch [021/050], Step [0132/0132], [lateral-3: 1.4509], [lateral-2: 1.3065], [lateral-1: 1.4139], [edge: 0.9709]
2023-06-16 08:30:03.784704 Epoch [022/050], Step [0060/0132], [lateral-3: 1.4320], [lateral-2: 1.2925], [lateral-1: 1.3978], [edge: 0.9686]
2023-06-16 08:30:54.046644 Epoch [022/050], Step [0120/0132], [lateral-3: 1.4383], [lateral-2: 1.2953], [lateral-1: 1.3980], [edge: 0.9696]
2023-06-16 08:31:03.615427 Epoch [022/050], Step [0132/0132], [lateral-3: 1.4378], [lateral-2: 1.2949], [lateral-1: 1.3977], [edge: 0.9699]
2023-06-16 08:31:54.742995 Epoch [023/050], Step [0060/0132], [lateral-3: 1.4354], [lateral-2: 1.2903], [lateral-1: 1.3913], [edge: 0.9728]
2023-06-16 08:32:44.942413 Epoch [023/050], Step [0120/0132], [lateral-3: 1.4339], [lateral-2: 1.2903], [lateral-1: 1.3904], [edge: 0.9716]
2023-06-16 08:32:54.495121 Epoch [023/050], Step [0132/0132], [lateral-3: 1.4340], [lateral-2: 1.2908], [lateral-1: 1.3902], [edge: 0.9706]
2023-06-16 08:33:45.530162 Epoch [024/050], Step [0060/0132], [lateral-3: 1.4244], [lateral-2: 1.2799], [lateral-1: 1.3764], [edge: 0.9713]
2023-06-16 08:34:35.773642 Epoch [024/050], Step [0120/0132], [lateral-3: 1.4349], [lateral-2: 1.2878], [lateral-1: 1.3809], [edge: 0.9706]
2023-06-16 08:34:45.351137 Epoch [024/050], Step [0132/0132], [lateral-3: 1.4314], [lateral-2: 1.2854], [lateral-1: 1.3806], [edge: 0.9702]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_only_backbone/BGNet_fine_tuning_freeze_only_backbone-24.pth
2023-06-16 08:35:37.178885 Epoch [025/050], Step [0060/0132], [lateral-3: 1.4268], [lateral-2: 1.2855], [lateral-1: 1.3782], [edge: 0.9694]
2023-06-16 08:36:27.398882 Epoch [025/050], Step [0120/0132], [lateral-3: 1.4256], [lateral-2: 1.2834], [lateral-1: 1.3744], [edge: 0.9711]
2023-06-16 08:36:36.969585 Epoch [025/050], Step [0132/0132], [lateral-3: 1.4222], [lateral-2: 1.2800], [lateral-1: 1.3712], [edge: 0.9705]
2023-06-16 08:37:28.262105 Epoch [026/050], Step [0060/0132], [lateral-3: 1.4083], [lateral-2: 1.2678], [lateral-1: 1.3545], [edge: 0.9713]
2023-06-16 08:38:18.492304 Epoch [026/050], Step [0120/0132], [lateral-3: 1.4205], [lateral-2: 1.2778], [lateral-1: 1.3621], [edge: 0.9699]
2023-06-16 08:38:28.062945 Epoch [026/050], Step [0132/0132], [lateral-3: 1.4254], [lateral-2: 1.2810], [lateral-1: 1.3642], [edge: 0.9710]
2023-06-16 08:39:19.107899 Epoch [027/050], Step [0060/0132], [lateral-3: 1.4195], [lateral-2: 1.2750], [lateral-1: 1.3534], [edge: 0.9687]
2023-06-16 08:40:09.323096 Epoch [027/050], Step [0120/0132], [lateral-3: 1.4137], [lateral-2: 1.2705], [lateral-1: 1.3493], [edge: 0.9697]
2023-06-16 08:40:18.892441 Epoch [027/050], Step [0132/0132], [lateral-3: 1.4139], [lateral-2: 1.2711], [lateral-1: 1.3504], [edge: 0.9697]
2023-06-16 08:41:10.014697 Epoch [028/050], Step [0060/0132], [lateral-3: 1.3921], [lateral-2: 1.2569], [lateral-1: 1.3328], [edge: 0.9703]
2023-06-16 08:42:00.248224 Epoch [028/050], Step [0120/0132], [lateral-3: 1.3997], [lateral-2: 1.2628], [lateral-1: 1.3393], [edge: 0.9702]
2023-06-16 08:42:09.817954 Epoch [028/050], Step [0132/0132], [lateral-3: 1.4038], [lateral-2: 1.2659], [lateral-1: 1.3406], [edge: 0.9695]
2023-06-16 08:43:01.020249 Epoch [029/050], Step [0060/0132], [lateral-3: 1.3906], [lateral-2: 1.2514], [lateral-1: 1.3258], [edge: 0.9711]
2023-06-16 08:43:51.085179 Epoch [029/050], Step [0120/0132], [lateral-3: 1.4021], [lateral-2: 1.2622], [lateral-1: 1.3348], [edge: 0.9695]
2023-06-16 08:44:00.632100 Epoch [029/050], Step [0132/0132], [lateral-3: 1.4014], [lateral-2: 1.2622], [lateral-1: 1.3336], [edge: 0.9699]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_only_backbone/BGNet_fine_tuning_freeze_only_backbone-29.pth
2023-06-16 08:44:52.513973 Epoch [030/050], Step [0060/0132], [lateral-3: 1.3907], [lateral-2: 1.2527], [lateral-1: 1.3246], [edge: 0.9720]
2023-06-16 08:45:42.608626 Epoch [030/050], Step [0120/0132], [lateral-3: 1.3955], [lateral-2: 1.2581], [lateral-1: 1.3248], [edge: 0.9698]
2023-06-16 08:45:52.158036 Epoch [030/050], Step [0132/0132], [lateral-3: 1.3966], [lateral-2: 1.2588], [lateral-1: 1.3250], [edge: 0.9704]
2023-06-16 08:46:43.297053 Epoch [031/050], Step [0060/0132], [lateral-3: 1.3996], [lateral-2: 1.2646], [lateral-1: 1.3245], [edge: 0.9703]
