2023-06-16 04:16:45.340761 Epoch [000/050], Step [0060/0132], [lateral-3: 1.8679], [lateral-2: 1.8725], [lateral-1: 1.8071], [edge: 0.9721]
2023-06-16 04:17:23.799653 Epoch [000/050], Step [0120/0132], [lateral-3: 1.8931], [lateral-2: 1.8936], [lateral-1: 1.8246], [edge: 0.9724]
2023-06-16 04:17:39.834013 Epoch [000/050], Step [0132/0132], [lateral-3: 1.8902], [lateral-2: 1.8918], [lateral-1: 1.8237], [edge: 0.9721]
2023-06-16 04:18:19.349254 Epoch [001/050], Step [0060/0132], [lateral-3: 1.8807], [lateral-2: 1.8827], [lateral-1: 1.8199], [edge: 0.9736]
2023-06-16 04:18:58.206474 Epoch [001/050], Step [0120/0132], [lateral-3: 1.8675], [lateral-2: 1.8678], [lateral-1: 1.8071], [edge: 0.9719]
2023-06-16 04:19:05.588776 Epoch [001/050], Step [0132/0132], [lateral-3: 1.8647], [lateral-2: 1.8647], [lateral-1: 1.8045], [edge: 0.9724]
2023-06-16 04:19:45.227207 Epoch [002/050], Step [0060/0132], [lateral-3: 1.8436], [lateral-2: 1.8422], [lateral-1: 1.7884], [edge: 0.9717]
2023-06-16 04:20:24.088129 Epoch [002/050], Step [0120/0132], [lateral-3: 1.8470], [lateral-2: 1.8458], [lateral-1: 1.7918], [edge: 0.9707]
2023-06-16 04:20:31.462111 Epoch [002/050], Step [0132/0132], [lateral-3: 1.8424], [lateral-2: 1.8421], [lateral-1: 1.7892], [edge: 0.9709]
2023-06-16 04:21:11.014380 Epoch [003/050], Step [0060/0132], [lateral-3: 1.8392], [lateral-2: 1.8390], [lateral-1: 1.7912], [edge: 0.9714]
2023-06-16 04:21:49.882649 Epoch [003/050], Step [0120/0132], [lateral-3: 1.8288], [lateral-2: 1.8283], [lateral-1: 1.7830], [edge: 0.9714]
2023-06-16 04:21:57.269289 Epoch [003/050], Step [0132/0132], [lateral-3: 1.8225], [lateral-2: 1.8223], [lateral-1: 1.7784], [edge: 0.9721]
2023-06-16 04:22:37.029331 Epoch [004/050], Step [0060/0132], [lateral-3: 1.8202], [lateral-2: 1.8156], [lateral-1: 1.7758], [edge: 0.9721]
2023-06-16 04:23:15.914344 Epoch [004/050], Step [0120/0132], [lateral-3: 1.8051], [lateral-2: 1.8032], [lateral-1: 1.7682], [edge: 0.9714]
2023-06-16 04:23:23.293825 Epoch [004/050], Step [0132/0132], [lateral-3: 1.8021], [lateral-2: 1.8003], [lateral-1: 1.7663], [edge: 0.9715]
