2023-06-15 19:49:46.519366 Epoch [000/050], Step [0060/0132], [lateral-3: 1.8975], [lateral-2: 1.8986], [lateral-1: 1.8288], [edge: 0.9718]
2023-06-15 19:50:17.793761 Epoch [000/050], Step [0120/0132], [lateral-3: 1.8923], [lateral-2: 1.8924], [lateral-1: 1.8238], [edge: 0.9720]
2023-06-15 19:50:29.087319 Epoch [000/050], Step [0132/0132], [lateral-3: 1.8920], [lateral-2: 1.8917], [lateral-1: 1.8234], [edge: 0.9716]
2023-06-15 19:51:00.817657 Epoch [001/050], Step [0060/0132], [lateral-3: 1.8621], [lateral-2: 1.8626], [lateral-1: 1.7991], [edge: 0.9713]
2023-06-15 19:51:32.124831 Epoch [001/050], Step [0120/0132], [lateral-3: 1.8638], [lateral-2: 1.8636], [lateral-1: 1.8016], [edge: 0.9723]
2023-06-15 19:51:38.046273 Epoch [001/050], Step [0132/0132], [lateral-3: 1.8654], [lateral-2: 1.8648], [lateral-1: 1.8030], [edge: 0.9717]
2023-06-15 19:52:09.885902 Epoch [002/050], Step [0060/0132], [lateral-3: 1.8430], [lateral-2: 1.8416], [lateral-1: 1.7862], [edge: 0.9727]
2023-06-15 19:52:41.083922 Epoch [002/050], Step [0120/0132], [lateral-3: 1.8384], [lateral-2: 1.8375], [lateral-1: 1.7849], [edge: 0.9723]
2023-06-15 19:52:47.014346 Epoch [002/050], Step [0132/0132], [lateral-3: 1.8405], [lateral-2: 1.8401], [lateral-1: 1.7877], [edge: 0.9722]
2023-06-15 19:53:18.996680 Epoch [003/050], Step [0060/0132], [lateral-3: 1.8157], [lateral-2: 1.8165], [lateral-1: 1.7711], [edge: 0.9702]
2023-06-15 19:53:50.121259 Epoch [003/050], Step [0120/0132], [lateral-3: 1.8168], [lateral-2: 1.8156], [lateral-1: 1.7719], [edge: 0.9714]
2023-06-15 19:53:56.038517 Epoch [003/050], Step [0132/0132], [lateral-3: 1.8206], [lateral-2: 1.8189], [lateral-1: 1.7748], [edge: 0.9716]
2023-06-15 19:54:27.908386 Epoch [004/050], Step [0060/0132], [lateral-3: 1.8140], [lateral-2: 1.8084], [lateral-1: 1.7705], [edge: 0.9702]
2023-06-15 19:54:59.118073 Epoch [004/050], Step [0120/0132], [lateral-3: 1.7953], [lateral-2: 1.7904], [lateral-1: 1.7558], [edge: 0.9723]
2023-06-15 19:55:05.041736 Epoch [004/050], Step [0132/0132], [lateral-3: 1.7976], [lateral-2: 1.7917], [lateral-1: 1.7570], [edge: 0.9720]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_until_EFM/BGNet_fine_tuning_freeze_until_EFM-4.pth
2023-06-15 19:55:37.804131 Epoch [005/050], Step [0060/0132], [lateral-3: 1.7752], [lateral-2: 1.7641], [lateral-1: 1.7335], [edge: 0.9698]
2023-06-15 19:56:08.977003 Epoch [005/050], Step [0120/0132], [lateral-3: 1.7748], [lateral-2: 1.7664], [lateral-1: 1.7406], [edge: 0.9720]
2023-06-15 19:56:14.906487 Epoch [005/050], Step [0132/0132], [lateral-3: 1.7758], [lateral-2: 1.7662], [lateral-1: 1.7407], [edge: 0.9721]
2023-06-15 19:56:47.007664 Epoch [006/050], Step [0060/0132], [lateral-3: 1.7496], [lateral-2: 1.7354], [lateral-1: 1.7201], [edge: 0.9723]
2023-06-15 19:57:18.157108 Epoch [006/050], Step [0120/0132], [lateral-3: 1.7533], [lateral-2: 1.7400], [lateral-1: 1.7278], [edge: 0.9720]
2023-06-15 19:57:24.076797 Epoch [006/050], Step [0132/0132], [lateral-3: 1.7584], [lateral-2: 1.7436], [lateral-1: 1.7315], [edge: 0.9723]
2023-06-15 19:57:56.075603 Epoch [007/050], Step [0060/0132], [lateral-3: 1.7504], [lateral-2: 1.7279], [lateral-1: 1.7222], [edge: 0.9697]
2023-06-15 19:58:27.217789 Epoch [007/050], Step [0120/0132], [lateral-3: 1.7406], [lateral-2: 1.7204], [lateral-1: 1.7219], [edge: 0.9721]
2023-06-15 19:58:33.141196 Epoch [007/050], Step [0132/0132], [lateral-3: 1.7370], [lateral-2: 1.7164], [lateral-1: 1.7184], [edge: 0.9719]
2023-06-15 19:59:05.031343 Epoch [008/050], Step [0060/0132], [lateral-3: 1.7199], [lateral-2: 1.6877], [lateral-1: 1.7004], [edge: 0.9737]
2023-06-15 19:59:36.236282 Epoch [008/050], Step [0120/0132], [lateral-3: 1.7088], [lateral-2: 1.6778], [lateral-1: 1.6957], [edge: 0.9729]
2023-06-15 19:59:42.162079 Epoch [008/050], Step [0132/0132], [lateral-3: 1.7048], [lateral-2: 1.6730], [lateral-1: 1.6916], [edge: 0.9727]
2023-06-15 20:00:14.060670 Epoch [009/050], Step [0060/0132], [lateral-3: 1.7158], [lateral-2: 1.6712], [lateral-1: 1.6973], [edge: 0.9700]
2023-06-15 20:00:45.213203 Epoch [009/050], Step [0120/0132], [lateral-3: 1.6830], [lateral-2: 1.6392], [lateral-1: 1.6725], [edge: 0.9718]
2023-06-15 20:00:51.135380 Epoch [009/050], Step [0132/0132], [lateral-3: 1.6825], [lateral-2: 1.6384], [lateral-1: 1.6713], [edge: 0.9718]
[Saving Snapshot:]checkpoints/BGNet_try4_fine_tuning_freeze_until_EFM/BGNet_fine_tuning_freeze_until_EFM-9.pth
2023-06-15 20:01:23.820134 Epoch [010/050], Step [0060/0132], [lateral-3: 1.6609], [lateral-2: 1.6080], [lateral-1: 1.6514], [edge: 0.9719]
2023-06-15 20:01:55.023853 Epoch [010/050], Step [0120/0132], [lateral-3: 1.6567], [lateral-2: 1.6000], [lateral-1: 1.6477], [edge: 0.9734]
2023-06-15 20:02:00.953609 Epoch [010/050], Step [0132/0132], [lateral-3: 1.6580], [lateral-2: 1.6001], [lateral-1: 1.6481], [edge: 0.9728]
2023-06-15 20:02:33.023702 Epoch [011/050], Step [0060/0132], [lateral-3: 1.6307], [lateral-2: 1.5635], [lateral-1: 1.6210], [edge: 0.9712]
2023-06-15 20:03:04.196821 Epoch [011/050], Step [0120/0132], [lateral-3: 1.6286], [lateral-2: 1.5575], [lateral-1: 1.6202], [edge: 0.9724]
2023-06-15 20:03:10.125187 Epoch [011/050], Step [0132/0132], [lateral-3: 1.6296], [lateral-2: 1.5567], [lateral-1: 1.6186], [edge: 0.9719]
2023-06-15 20:03:42.105883 Epoch [012/050], Step [0060/0132], [lateral-3: 1.6105], [lateral-2: 1.5261], [lateral-1: 1.5995], [edge: 0.9710]
2023-06-15 20:04:13.301078 Epoch [012/050], Step [0120/0132], [lateral-3: 1.6073], [lateral-2: 1.5173], [lateral-1: 1.5911], [edge: 0.9721]
2023-06-15 20:04:19.228606 Epoch [012/050], Step [0132/0132], [lateral-3: 1.6070], [lateral-2: 1.5169], [lateral-1: 1.5908], [edge: 0.9719]
