2023-06-12 06:58:53.589958 Epoch [000/025], Step [0060/0132], [lateral-3: 1.3063], [lateral-2: 1.4086], [lateral-1: 1.4367], [edge: 0.8980]
2023-06-12 07:00:13.782819 Epoch [000/025], Step [0120/0132], [lateral-3: 1.2248], [lateral-2: 1.3282], [lateral-1: 1.3777], [edge: 0.8803]
2023-06-12 07:00:45.946298 Epoch [000/025], Step [0132/0132], [lateral-3: 1.2144], [lateral-2: 1.3177], [lateral-1: 1.3695], [edge: 0.8780]
2023-06-12 07:02:06.924490 Epoch [001/025], Step [0060/0132], [lateral-3: 1.0948], [lateral-2: 1.1915], [lateral-1: 1.2665], [edge: 0.8391]
2023-06-12 07:03:27.063518 Epoch [001/025], Step [0120/0132], [lateral-3: 1.0853], [lateral-2: 1.1769], [lateral-1: 1.2516], [edge: 0.8371]
2023-06-12 07:03:42.294155 Epoch [001/025], Step [0132/0132], [lateral-3: 1.0838], [lateral-2: 1.1743], [lateral-1: 1.2488], [edge: 0.8371]
2023-06-12 07:05:03.328124 Epoch [002/025], Step [0060/0132], [lateral-3: 1.0585], [lateral-2: 1.1345], [lateral-1: 1.2071], [edge: 0.8232]
2023-06-12 07:06:23.487831 Epoch [002/025], Step [0120/0132], [lateral-3: 1.0539], [lateral-2: 1.1257], [lateral-1: 1.1971], [edge: 0.8206]
2023-06-12 07:06:38.719094 Epoch [002/025], Step [0132/0132], [lateral-3: 1.0535], [lateral-2: 1.1242], [lateral-1: 1.1954], [edge: 0.8206]
2023-06-12 07:07:59.662893 Epoch [003/025], Step [0060/0132], [lateral-3: 1.0381], [lateral-2: 1.0976], [lateral-1: 1.1660], [edge: 0.8116]
2023-06-12 07:09:19.831117 Epoch [003/025], Step [0120/0132], [lateral-3: 1.0374], [lateral-2: 1.0927], [lateral-1: 1.1592], [edge: 0.8061]
2023-06-12 07:09:35.059155 Epoch [003/025], Step [0132/0132], [lateral-3: 1.0372], [lateral-2: 1.0919], [lateral-1: 1.1580], [edge: 0.8058]
2023-06-12 07:10:56.009404 Epoch [004/025], Step [0060/0132], [lateral-3: 1.0254], [lateral-2: 1.0718], [lateral-1: 1.1350], [edge: 0.7770]
2023-06-12 07:12:16.172829 Epoch [004/025], Step [0120/0132], [lateral-3: 1.0247], [lateral-2: 1.0682], [lateral-1: 1.1299], [edge: 0.7890]
2023-06-12 07:12:31.419753 Epoch [004/025], Step [0132/0132], [lateral-3: 1.0245], [lateral-2: 1.0676], [lateral-1: 1.1290], [edge: 0.7916]
[Saving Snapshot:]checkpoints/BGNet_try5.1/BGNet-4.pth
2023-06-12 07:13:53.040949 Epoch [005/025], Step [0060/0132], [lateral-3: 1.0115], [lateral-2: 1.0505], [lateral-1: 1.1098], [edge: 0.7723]
2023-06-12 07:15:13.169697 Epoch [005/025], Step [0120/0132], [lateral-3: 1.0124], [lateral-2: 1.0488], [lateral-1: 1.1060], [edge: 0.7807]
2023-06-12 07:15:28.402717 Epoch [005/025], Step [0132/0132], [lateral-3: 1.0129], [lateral-2: 1.0489], [lateral-1: 1.1057], [edge: 0.7811]
2023-06-12 07:16:49.342582 Epoch [006/025], Step [0060/0132], [lateral-3: 1.0060], [lateral-2: 1.0382], [lateral-1: 1.0915], [edge: 0.7715]
2023-06-12 07:18:09.502027 Epoch [006/025], Step [0120/0132], [lateral-3: 1.0041], [lateral-2: 1.0352], [lateral-1: 1.0878], [edge: 0.7693]
2023-06-12 07:18:24.729954 Epoch [006/025], Step [0132/0132], [lateral-3: 1.0036], [lateral-2: 1.0344], [lateral-1: 1.0868], [edge: 0.7686]
